unfold,to open or spread out something that has been folded :,C1 [ T ]
unfold,"If a situation or story unfolds, it develops or becomes clear to other people :",C1 [ T ]
unfold,to tell a story or explain something such as a plan :,C1 [ T ]
unfold,(of a situation or story ) to develop or become clear :,C1 [ T ]
unfold,to open or spread out something that has been folded :,C1 [ T ]
ashore,towards or onto land from an area of water :,
ashore,"toward or onto land from an area of water , or on land after coming from an area of water :",
fines,good or good enough; healthy and well:,A1 [ after verb ]
fines,excellent or much better than average :,A1 [ after verb ]
fines,very thin or in very small pieces or drops :,A1 [ after verb ]
fines,"very exact and delicate , or needing to be done, treated , or considered very carefully :",A1 [ after verb ]
fines,sunny and dry :,A1 [ after verb ]
fines,bad or not convenient :,A1 [ after verb ]
fines,an amount of money that has to be paid as a punishment for not obeying a rule or law :,A1 [ after verb ]
fines,to charge someone an amount of money as a punishment for not obeying a rule or law :,A1 [ after verb ]
fines,in a satisfactory way:,A1 [ after verb ]
fines,very good or very well; satisfactory or satisfactorily :,A1 [ after verb ]
fines,of excellent quality or much better than average :,A1 [ after verb ]
fines,Fine is sometimes used with an opposite meaning to show that you are annoyed :,A1 [ after verb ]
fines,very thin or in very small grains or drops :,A1 [ after verb ]
fines,an amount of money that has to be paid as a punishment for not obeying a rule or law :,A1 [ after verb ]
fines,an amount of money that someone has to pay as a punishment for not obeying a law or rule :,A1 [ after verb ]
fines,to make someone pay an amount of money as a punishment for not obeying a law or rule :,A1 [ after verb ]
fines,of very high quality :,A1 [ after verb ]
willing,to be happy to do something if it is needed :,B1
willing,A willing person does their work energetically and enthusiastically :,B1
willing,not opposed to doing something; ready or eager to do something:,B1
